type_num,sparsity_mean
2,1.614
1,1.616
2,1.638
2,1.592
2,1.638
2,1.598
2,1.596
2,1.552
2,1.64
2,1.61
2,1.634
2,1.608
2,1.61
2,1.628
2,1.568
2,1.552
2,1.586
2,1.57
2,1.586
2,1.598
2,1.634
2,1.582
2,1.612
2,1.588
2,1.604
2,1.63
2,1.586
2,1.576
2,1.602
2,1.624
2,1.6
2,1.628
2,1.588
2,1.648
2,1.63
2,1.598
2,1.604
2,1.616
2,1.624
2,1.63
2,1.6
2,1.638
2,1.57
2,1.598
2,1.606
2,1.596
2,1.588
2,1.612
2,1.62
2,1.602
3,1.536
3,1.524
3,1.786
3,1.61
3,1.574
3,1.71
3,1.5
3,1.694
3,1.614
3,1.542
3,1.698
3,1.586
3,1.676
3,1.662
3,1.618
3,1.658
3,1.506
3,1.744
3,1.518
3,1.61
3,1.698
3,1.532
3,1.642
3,1.626
3,1.65
3,1.738
3,1.73
3,1.65
3,1.608
3,1.632
3,1.648
3,1.592
3,1.706
3,1.426
3,1.67
3,1.732
3,1.528
3,1.53
3,1.47
3,1.698
3,1.62
3,1.824
3,1.668
3,1.568
3,1.604
3,1.602
3,1.64
3,1.598
3,1.664
3,1.53
