type_num,sparsity_mean
2,1.536
1,1.512
2,1.52
2,1.512
2,1.526
2,1.554
2,1.528
2,1.538
2,1.524
2,1.528
2,1.56
2,1.516
2,1.546
2,1.498
2,1.52
2,1.538
2,1.508
2,1.506
2,1.52
2,1.548
2,1.5
2,1.546
2,1.534
2,1.532
2,1.542
2,1.558
2,1.532
2,1.51
2,1.538
2,1.494
2,1.532
2,1.542
2,1.494
2,1.55
2,1.524
2,1.51
2,1.544
2,1.526
2,1.532
2,1.544
2,1.506
2,1.54
2,1.55
2,1.532
2,1.548
2,1.54
2,1.518
2,1.576
2,1.528
2,1.554
3,1.654
3,1.642
3,1.686
3,1.664
3,1.558
3,1.674
3,1.712
3,1.536
3,1.522
3,1.674
3,1.398
3,1.608
3,1.61
3,1.482
3,1.658
3,1.694
3,1.624
3,1.68
3,1.6
3,1.736
3,1.384
3,1.508
3,1.692
3,1.604
3,1.678
3,1.594
3,1.582
3,1.666
3,1.588
3,1.7
3,1.558
3,1.466
3,1.576
3,1.618
3,1.684
3,1.414
3,1.764
3,1.61
3,1.56
3,1.528
3,1.586
3,1.602
3,1.672
3,1.408
3,1.756
3,1.51
3,1.674
3,1.332
3,1.794
3,1.582
