label,model_seed,cf_seed,proximity_mean,im1_mean,feature_set,type
random_model_run_1,13,42,1.432377906911488,0.8970258960261501,All,1
random_model_run_2,42,42,1.3892538351940469,0.9109598420978894,All,3
random_model_run_3,49,42,1.3596740214347829,0.904694822190118,All,1
random_model_run_4,61,42,1.433704475604517,0.902225620155969,All,1
random_model_run_5,97,42,1.461327327895753,0.8938673185854908,All,1
random_model_run_6,98,42,1.502570363534479,0.8805771442153137,All,1
random_model_run_7,71,42,1.4097227417094764,0.8971589316785353,All,1
random_model_run_8,60,42,1.4352208161259246,0.8981222172941439,All,1
random_model_run_9,40,42,1.3872107965269156,0.9067978910984584,All,1
random_model_run_10,22,42,1.4283630870448618,0.8924976405934797,All,1
random_model_run_11,5,42,1.4687940454258632,0.8926325353230886,All,1
random_model_run_12,69,42,1.369562562844206,0.8911253202846947,All,1
random_model_run_13,88,42,1.4418257122059417,0.9122362312723816,All,1
random_model_run_14,65,42,1.4271536444252015,0.9041815842018188,All,1
random_model_run_15,75,42,1.435424574013793,0.922730087477024,All,1
random_model_run_16,96,42,1.4708790534597616,0.884411373589848,All,1
random_model_run_17,0,42,1.397131129635777,0.9053476593852872,All,1
random_model_run_18,20,42,1.389502130847276,0.9014665356765448,All,1
random_model_run_19,81,42,1.448068280425485,0.8976469769651354,All,1
random_model_run_20,29,42,1.4611007818813369,0.9083012884224084,All,1
random_model_run_21,90,42,1.4532712268807264,0.8801198948326651,All,1
random_model_run_22,56,42,1.4237560657042032,0.9007288217884988,All,1
random_model_run_23,32,42,1.396671821800269,0.9067976393986056,All,1
random_model_run_24,10,42,1.4149744370254669,0.8903896635210584,All,1
random_model_run_25,62,42,1.4124318401392857,0.8859695867962678,All,1
random_model_run_26,25,42,1.4479475485114943,0.9055557640308488,All,1
random_model_run_27,73,42,1.4345813174963504,0.9073963875493372,All,1
random_model_run_28,31,42,1.4132193730780305,0.9004298518926326,All,1
random_model_run_29,95,42,1.4410974745574938,0.9056995783061242,All,1
random_model_run_30,94,42,1.4098211956080209,0.9121990272057084,All,1
random_model_run_31,64,42,1.3796061495903724,0.9073652589938984,All,1
random_model_run_32,58,42,1.4595971872614266,0.9127039371760012,All,1
random_model_run_33,77,42,1.41490572127109,0.8932531730910394,All,1
random_model_run_34,59,42,1.4473853299815331,0.8990892184756062,All,1
random_model_run_35,76,42,1.4398100730132173,0.8816455271531795,All,1
random_model_run_36,86,42,1.428060189478596,0.9105643067925258,All,1
random_model_run_37,8,42,1.4072561633081275,0.9134527168322448,All,1
random_model_run_38,24,42,1.492458500185808,0.8725485422530224,All,1
random_model_run_39,54,42,1.446631284471284,0.924571910192798,All,1
random_model_run_40,19,42,1.4335614533430103,0.8941579626240691,All,1
random_model_run_41,27,42,1.420349508807756,0.8879560030493444,All,1
random_model_run_42,39,42,1.5108216666076857,0.892662794104823,All,1
random_model_run_43,37,42,1.467787849437192,0.9090269019097118,All,1
random_model_run_44,28,42,1.4698535787423368,0.8995317561673408,All,1
random_model_run_45,72,42,1.4559133185501087,0.906334629727449,All,1
random_model_run_46,66,42,1.4568632811110436,0.8993472131660938,All,1
random_model_run_47,30,42,1.4605155352002817,0.8973483786755192,All,1
random_model_run_48,35,42,1.5091476954871468,0.913553920819376,All,1
random_model_run_49,14,42,1.432889141227115,0.9044792445592742,All,1
random_model_run_50,4,42,1.443495131361774,0.9019146019300148,All,1
random_cf_run_1,42,23,1.4585409472798765,0.8971523899589587,All,2
random_cf_run_2,42,77,1.3566463931214876,0.8950173622109268,All,2
random_cf_run_3,42,90,1.6278342922205773,0.9210417761323506,All,2
random_cf_run_4,42,0,1.5674350845214862,0.9091958582409236,All,2
random_cf_run_5,42,72,1.518709763751828,0.9218696646647784,All,2
random_cf_run_6,42,12,1.466660554344799,0.887306472416755,All,2
random_cf_run_7,42,29,1.632389274718694,0.9021731754843596,All,2
random_cf_run_8,42,38,1.607665803099614,0.9080898050006352,All,2
random_cf_run_9,42,87,1.5176826085423722,0.9097528708504627,All,2
random_cf_run_10,42,14,1.4509868562612007,0.9167003177294308,All,2
random_cf_run_11,42,31,1.2542413084845794,0.9068556566245296,All,2
random_cf_run_12,42,21,1.5404013763389517,0.9114417984498266,All,2
random_cf_run_13,42,27,1.4487677707505278,0.925220543891661,All,2
random_cf_run_14,42,33,1.5959307266719769,0.9095882222695026,All,2
random_cf_run_15,42,53,1.584318177919794,0.909488591120626,All,2
random_cf_run_16,42,39,1.5585082365099885,0.8991117859799388,All,2
random_cf_run_17,42,63,1.3239195295149837,0.9193159490214228,All,2
random_cf_run_18,42,96,1.4926453708180465,0.8965390701615988,All,2
random_cf_run_19,42,59,1.5033149956466083,0.8804336053527676,All,2
random_cf_run_20,42,46,1.4933411591992576,0.903911398903884,All,2
random_cf_run_21,42,17,1.3292261239114302,0.8909172260574343,All,2
random_cf_run_22,42,5,1.372326640019261,0.9017388260860072,All,2
random_cf_run_23,42,73,1.4253738264955536,0.898314250149505,All,2
random_cf_run_24,42,47,1.633325204138966,0.906611742147004,All,2
random_cf_run_25,42,24,1.4689965715189424,0.9178869471865456,All,2
random_cf_run_26,42,32,1.551515632756323,0.8930900842036867,All,2
random_cf_run_27,42,7,1.411481370966847,0.8845310779644268,All,2
random_cf_run_28,42,79,1.497734081535243,0.9166038153947736,All,2
random_cf_run_29,42,97,1.429134311682223,0.9103258416964816,All,2
random_cf_run_30,42,4,1.5114359372453925,0.9037674906341584,All,2
random_cf_run_31,42,84,1.378807133234377,0.904916528261292,All,2
random_cf_run_32,42,62,1.4358322300700344,0.9028654597398832,All,2
random_cf_run_33,42,45,1.457519133661528,0.90084910428775,All,2
random_cf_run_34,42,75,1.6208918306797673,0.9161815428598484,All,2
random_cf_run_35,42,18,1.548236513830035,0.9090309544914508,All,2
random_cf_run_36,42,43,1.2699082480409216,0.924758743260292,All,2
random_cf_run_37,42,91,1.5634960147270105,0.9058013652224852,All,2
random_cf_run_38,42,35,1.5339315466589971,0.9100143553637278,All,2
random_cf_run_39,42,67,1.357509019757726,0.9050401206814872,All,2
random_cf_run_40,42,48,1.4658870587384685,0.8990144049433091,All,2
random_cf_run_41,42,71,1.4978386334842135,0.9072278139160164,All,2
random_cf_run_42,42,25,1.571375614674053,0.904162770901171,All,2
random_cf_run_43,42,85,1.4902140433537845,0.8988291898463072,All,2
random_cf_run_44,42,10,1.2913238697545064,0.8988134503409507,All,2
random_cf_run_45,42,74,1.4430824224848906,0.9199729066822896,All,2
random_cf_run_46,42,36,1.3281730378525944,0.9284075134323168,All,2
random_cf_run_47,42,69,1.7239770370222098,0.9197998916606271,All,2
random_cf_run_48,42,92,1.6649277149504949,0.9175045667371136,All,2
random_cf_run_49,42,61,1.7638135078545811,0.9130389546259912,All,2
random_cf_run_50,42,60,1.3894295243188626,0.9145849167879936,All,2
cherry_model_run_1,13,42,1.5649778804230092,0.8992928743410868,Restricted,1
cherry_model_run_2,42,42,1.4270387111606564,0.9031499950796132,Restricted,3
cherry_model_run_3,49,42,1.5128359601152783,0.9187316395708496,Restricted,1
cherry_model_run_4,61,42,1.5717070875106085,0.915524529355114,Restricted,1
cherry_model_run_5,97,42,1.549371517301781,0.8997936154894107,Restricted,1
cherry_model_run_6,98,42,1.5280118444176882,0.893131305948486,Restricted,1
cherry_model_run_7,71,42,1.4875816958538122,0.8958073586670378,Restricted,1
cherry_model_run_8,60,42,1.48388363018994,0.9023229717331108,Restricted,1
cherry_model_run_9,40,42,1.5338750638676035,0.9032200206143582,Restricted,1
cherry_model_run_10,22,42,1.4954336023491523,0.8918268210152517,Restricted,1
cherry_model_run_11,5,42,1.586148483605442,0.8946236373173435,Restricted,1
cherry_model_run_12,69,42,1.5401478572840344,0.895657544615269,Restricted,1
cherry_model_run_13,88,42,1.546708556660955,0.9250522791995108,Restricted,1
cherry_model_run_14,65,42,1.4890336951281593,0.9080197284513524,Restricted,1
cherry_model_run_15,75,42,1.4725547221496522,0.9038321072132668,Restricted,1
cherry_model_run_16,96,42,1.4498113936662849,0.8928334693899344,Restricted,1
cherry_model_run_17,0,42,1.4696796151305105,0.8980815062609802,Restricted,1
cherry_model_run_18,20,42,1.4922465029040226,0.8954058252876325,Restricted,1
cherry_model_run_19,81,42,1.4937549023352548,0.9024947016776876,Restricted,1
cherry_model_run_20,29,42,1.5285191947830994,0.8978456728079764,Restricted,1
cherry_model_run_21,90,42,1.501325610816031,0.8859124629624107,Restricted,1
cherry_model_run_22,56,42,1.456576593843895,0.9037409789211814,Restricted,1
cherry_model_run_23,32,42,1.5011258818713096,0.9019979846353404,Restricted,1
